PATENTE,MONTO_PAGADO,TIPO_PAGO,FECHA_PAGO,MODULO_ATENCION,CODIGO_SII
BBBR83,36089,3,2024-09-01,1,SU2290012
BBWB41,16441,2,2024-09-01,1,SU1760032
BGKS34,16441,2,2024-09-01,1,SU1110065
BRKC20,16441,2,2024-09-01,1,SU2270089
CCSS86,16441,2,2024-09-01,1,CT1110019
CDKW43,16441,2,2024-09-01,1,CT1110022
CGRY10,16441,2,2024-09-01,1,SU1110017
CGRY66,16441,2,2024-09-01,1,SU1600023
CHKS85,16441,2,2024-09-01,1,VN1110142
CKSS44,16441,2,2024-09-01,1,HB2350012
CSJG53,16441,2,2024-09-01,1,VN1110058
CZVS54,16441,2,2024-09-01,1,SD2350124
DJWH88,16441,2,2024-09-01,1,VN1210004
DRGW61,16441,2,2024-09-01,1,VN1110058
DVDD65,81820,2,2024-09-01,1,VN2350046
DVDD65,158071,3,2024-09-01,1,VN2350046
DVXY26,16441,2,2024-09-01,1,SD1060078
FBTK34,16441,2,2024-09-01,1,SU2350035
FCSW53,16441,2,2024-09-01,1,VN1110073
FCSZ66,16441,2,2024-09-01,1,SU1320082
FGTF82,16441,2,2024-09-01,1,HB2290058
FJHH89,172580,2,2024-09-01,1,SU1410104
FKKC72,16441,2,2024-09-01,1,SD2430059
FRJR63,16441,2,2024-09-01,1,SD1060078
FXDF14,16441,2,2024-09-01,1,SU2660004
FYPJ77,16441,2,2024-09-01,1,SD500284
FZBW51,16441,2,2024-09-01,1,SU1600020
FZLR25,16441,2,2024-09-01,1,SU1110063
GFFY54,16441,2,2024-09-01,1,VN1320062
GGDV79,16441,2,2024-09-01,1,VN1600017
GJHW58,16441,2,2024-09-01,1,SU1110044
GKBC89,16441,2,2024-09-01,1,SU1110051
GKBK85,16441,2,2024-09-01,1,HB1060023
GLKR44,16441,2,2024-09-01,1,SD1600111
GLKS91,16441,2,2024-09-01,1,HB1060021
GLKY89,16441,2,2024-09-01,1,HB2290080
GRKJ79,16441,2,2024-09-01,1,CT1110049
GSHT67,16441,2,2024-09-01,1,VN1600020
GSHT93,16441,2,2024-09-01,1,HB2350019
GSXP53,16441,2,2024-09-01,1,SU2250037
GSXR21,16441,2,2024-09-01,1,SU2250020
GVRK57,16441,2,2024-09-01,1,SU1320053
GVSP56,16441,2,2024-09-01,1,SD1320104
GXZH78,16441,2,2024-09-01,1,VN1110086
HCSB86,16441,2,2024-09-01,1,CT1110034
HCSF39,16441,2,2024-09-01,1,VN500033
HCSR44,16441,2,2024-09-01,1,VN1110058
HFGV11,16441,2,2024-09-01,1,HB2290080
HHSF25,109024,2,2024-09-01,1,SU1210055
HHWT41,16441,2,2024-09-01,1,HB2350019
HJDV43,16441,2,2024-09-01,1,CO500015
HKTD91,16441,2,2024-09-01,1,HB1060021
HSHV76,16441,2,2024-09-01,1,SD2040017
HSJJ41,16441,2,2024-09-01,1,HB1600049
HSZK73,16441,2,2024-09-01,1,HB1760021
HVLG13,16441,2,2024-09-01,1,CO500015
HVTW35,16441,2,2024-09-01,1,VN1600021
HVTW81,16441,2,2024-09-01,1,SU2270219
HXKX97,16441,2,2024-09-01,1,CT910027
HXWC90,16441,2,2024-09-01,1,CT1110039
JBGH60,16441,2,2024-09-01,1,SU1320063
JBGT44,34329,2,2024-09-01,1,VN1110097
JBGV14,16441,2,2024-09-01,1,SU1110050
JBYJ71,16441,2,2024-09-01,1,VN2290008
JDGH97,16441,2,2024-09-01,1,VN500030
JDGK16,16441,2,2024-09-01,1,SU2290143
JDGT66,16441,2,2024-09-01,1,HB1600040
JFZ070,16441,2,2024-09-01,1,MT2290274
JFZK23,16441,2,2024-09-01,1,SU1110052
JGSF18,111680,2,2024-09-01,1,CO1840156
JHKR45,44615,2,2024-09-01,1,SU2250083
JHKX94,16441,2,2024-09-01,1,HB1060021
JHLG52,29550,2,2024-09-01,1,SU640002
JLTY80,16441,2,2024-09-01,1,SU1600027
JLVC74,16441,2,2024-09-01,1,HB2350028
JPWZ18,68218,2,2024-09-01,1,VN500028
JPWZ67,36089,3,2024-09-01,1,HB1060021
JPXB68,16441,2,2024-09-01,1,HB1060021
JPXB77,20340,2,2024-09-01,1,SD320194
JPXK17,16441,2,2024-09-01,1,HB1060021
JSVL89,16441,2,2024-09-01,1,SU1110058
JYBZ85,40370,2,2024-09-01,1,SU2350109
JYTH39,16441,2,2024-09-01,1,SD1600142
KBLJ58,16441,2,2024-09-01,1,SU1110063
KBZY76,16441,2,2024-09-01,1,SU2250034
KBZZ78,16441,2,2024-09-01,1,SD1970094
KCBD77,16441,2,2024-09-01,1,SD320123
KFJP25,109984,2,2024-09-01,1,SU1600075
KGJT88,17227,2,2024-09-01,1,SU1210052
KGJW83,16441,2,2024-09-01,1,VN500030
KGJX27,32619,2,2024-09-01,1,SD790124
KGWS54,54062,2,2024-09-01,1,CT1760324
KJRS68,16441,2,2024-09-01,1,SU1110052
KJTY88,16441,2,2024-09-01,1,VN1660022
KJTZ49,16441,2,2024-09-01,1,HB2290077
KJVL75,16441,2,2024-09-01,1,VN1600020
KPHY54,22016,2,2024-09-01,1,VN640032
KPJC47,16441,2,2024-09-01,1,VN1320081
KRRX57,16441,2,2024-09-01,1,SD1600187
KSYJ99,16441,2,2024-09-01,1,SD1600189
KSYK46,16441,2,2024-09-01,1,HB1600040
KSYK50,55320,2,2024-09-01,1,SU1210068
KSYT20,16441,2,2024-09-01,1,HB1060020
KSZB20,16441,2,2024-09-01,1,CT1110027
KVPB23,16456,2,2024-09-01,1,HB1110171
KWVX39,16441,2,2024-09-01,1,HB2290077
KXGV40,16441,2,2024-09-01,1,SD1600177
KYDR17,16441,2,2024-09-01,1,VN1600030
KZPH44,16441,2,2024-09-01,1,SU1170024
LBFC82,29261,2,2024-09-01,1,CT910036
LDDV80,31588,2,2024-09-01,1,SU1110124
LDTR89,16441,2,2024-09-01,1,VN1600029
LDTW22,16441,2,2024-09-01,1,SD500283
LHKR15,41934,2,2024-09-01,1,SU1110185
LHLR94,16441,2,2024-09-01,1,HB1620005
LHPJ51,130517,2,2024-09-01,1,SU790067
LJWP57,16441,2,2024-09-01,1,CT1110028
LKWG34,431526,2,2024-09-01,1,SU1210094
LKYF71,16441,2,2024-09-01,1,SD1600177
LKYL28,16441,2,2024-09-01,1,HB2290119
LKYS74,16441,2,2024-09-01,1,HB1060024
LPHK42,150480,2,2024-09-01,1,SD130191
LPVS77,18088,2,2024-09-01,1,VN1320104
LPWB53,16441,2,2024-09-01,1,HB1060024
LPWT27,27700,2,2024-09-01,1,SU1110134
LRTT77,16441,2,2024-09-01,1,SD1110139
LSWP46,20375,2,2024-09-01,1,SU500075
LSWR34,16441,2,2024-09-01,1,SD1600184
LSWT48,16441,2,2024-09-01,1,VN1600034
LSWV29,37165,2,2024-09-01,1,SU1320164
LSWX23,16441,2,2024-09-01,1,SD1620094
LSXS46,16441,2,2024-09-01,1,HB2290118
LVRY46,16441,2,2024-09-01,1,SU2250047
LVSG59,17182,2,2024-09-01,1,SU1320119
LVSK15,16441,2,2024-09-01,1,HB1760047
LVSK96,75008,2,2024-09-01,1,SU2270506
LVSP69,16441,2,2024-09-01,1,SU2250044
LVVZ39,16441,2,2024-09-01,1,SU1110085
LW8526,16441,2,2024-09-01,1,SU1660002
LW8566,16441,2,2024-09-01,1,SD1110043
LYKC37,16441,2,2024-09-01,1,HB1060026
LYKS49,109294,2,2024-09-01,1,VN640040
LYKT58,44956,2,2024-09-01,1,VN1320103
LZYT64,303463,2,2024-09-01,1,VN790067
OL0246,20022,2,2024-09-01,1,MT320042
PBSF36,16441,2,2024-09-01,1,HB1060026
PBSH67,46484,2,2024-09-01,1,SU1110182
PBSR33,36089,3,2024-09-01,1,HB1760056
PBSW26,16441,2,2024-09-01,1,CT1320028
PBSW56,25332,2,2024-09-01,1,SU1110127
PBSX71,16441,2,2024-09-01,1,VN1600020
PBVC78,67335,2,2024-09-01,1,CT1600120
PCRC23,20695,2,2024-09-01,1,VN1320106
PFPW31,16441,2,2024-09-01,1,HB1600039
PGZZ86,37049,2,2024-09-01,1,SU1110177
PHBC42,16441,2,2024-09-01,1,SU1110069
PHBF18,16441,2,2024-09-01,1,HB1060024
PJTY35,16441,2,2024-09-01,1,HB1320067
PKKT44,27543,2,2024-09-01,1,SU500117
PKKV45,26968,2,2024-09-01,1,CT910070
PKKX66,16441,2,2024-09-01,1,HB1060026
PKKZ54,109011,2,2024-09-01,1,SU5450003
PLFG58,16441,2,2024-09-01,1,SU1320051
PLGZ35,17182,2,2024-09-01,1,SU1320119
PLSD82,16441,2,2024-09-01,1,HB1060024
PLSF37,16441,2,2024-09-01,1,SU1110052
PLSH45,16441,2,2024-09-01,1,SD1600184
PLSL90,16441,2,2024-09-01,1,HB1760056
PLSL94,16441,2,2024-09-01,1,CT1320051
PLSP67,16441,2,2024-09-01,1,HB1060026
PPJT94,16441,2,2024-09-01,1,VN1600030
PRPL70,16441,2,2024-09-01,1,SD1110128
PRPP29,17182,2,2024-09-01,1,SU1320119
PRZR17,19628,2,2024-09-01,1,SU2250044
PRZR17,36089,3,2024-09-01,1,SU2250044
PSDY42,16441,2,2024-09-01,1,HB1060026
PSFV90,45147,2,2024-09-01,1,SU1760234
PSKC35,36989,2,2024-09-01,1,SU500119
