PATENTE,A_FABRICACION,MARCA,MODELO,COLOR,TIPO_VEHICULO
BBBR83,1996,MITSUBISHI,PAJERO JR,VERDE DORADO,29
BBWB41,1996,NISSAN,SERENA,ROJO GRIS,29
BGKS34,2008,HYUNDAI,TUCSON GL CRDI,PLATEADO,29
BRKC20,1999,SUBARU,FORESTER,ROJO,29
CCSS86,2001,HYUNDAI,PORTER,AZUL,6
CDKW43,2002,HYUNDAI,PORTER,AZUL,6
CGRY10,2000,HYUNDAI,GALLOPER,GRIS VERDE,29
CGRY66,2001,MAZDA,TRIBUTE,PLATEADO,29
CHKS85,2010,HYUNDAI,NEW H1 GLS,BLANCO PERLA,20
CKSS44,2001,TOYOTA,VITZ,GRIS,2
CSJG53,2003,HYUNDAI,GRACE,VERDE GRIS,20
CZVS54,2001,TOYOTA,VITZ,GRIS,2
DJWH88,2006,JEEP,GRAND CHEROKEE,BEIGE,29
DRGW61,2002,HYUNDAI,STAREX,PLATEADO GRIS,29
DVDD65,2012,TOYOTA,4 RUNNER LIMITED 4.0 AUT,PLATEADO SILVER,29
DVXY26,2003,HYUNDAI,TUSCANI,AZUL PERLADO,2
FBTK34,2001,TOYOTA,SPACIO,DORADO,29
FCSW53,2002,HYUNDAI,SANTA FE,PLATEADO,29
FCSZ66,2005,KIA MOTORS,SPORTAGE,BLANCO,29
FGTF82,2005,SUZUKI,AERIO 1.5 AUT,GRIS,2
FJHH89,2013,LAND ROVER,RANGE ROVER SPORT 3.0 D,BLANCO FUJI,29
FKKC72,2000,VOLKSWAGEN,AOY,AMARILLO,2
FRJR63,2005,MAZDA,DEMIO,BLANCO,29
FXDF14,2013,ZOTYE,HUNTER,BLANCO,29
FYPJ77,2014,CHEVROLET,SAIL II NB,GRIS PERLA,2
FZBW51,2003,MAZDA,PREMACY 2.0 AUT,GRIS,29
FZLR25,2008,HYUNDAI,TUSCANI,NEGRO,2
GFFY54,2004,HYUNDAI,STAREX 2.5,PLATEADO,29
GGDV79,2000,MAZDA,MPV 2.000,ROJO,29
GJHW58,2004,HYUNDAI,TUCSON 2.0,PLATEADO,29
GKBC89,2008,HYUNDAI,TUCSON,VERDE GRIS,29
GKBK85,2005,HONDA,FIT,AZUL,29
GLKR44,2006,MAZDA,DEMIO,BLANCO,29
GLKS91,2004,HONDA,FIT 1.3 AUT,AZUL,29
GLKY89,2008,MAZDA,VERISA 4X2,ROJO BURDEO,29
GRKJ79,2011,HYUNDAI,PORTER II 2.5,AZUL,6
GSHT67,2005,MAZDA,VERISA 1.5 AUT,ROJO,29
GSHT93,2004,CHEVROLET,CRUZE,BLANCO,2
GSXP53,2004,SSANGYONG,REXTON 2.9 AUT,NEGRO,29
GSXR21,2002,SSANGYONG,REXTON 2.9 AUT,VERDE,29
GVRK57,2003,KIA MOTORS,XTREK,GRIS,29
GVSP56,2007,KIA MOTORS,PRIDE,GRIS,2
GXZH78,2004,HYUNDAI,STAREX,PLATEADO,20
HCSB86,2007,HYUNDAI,PORTER,BLANCO,6
HCSF39,2007,CHEVROLET,CAPTIVA,PLATEADO,29
HCSR44,2003,HYUNDAI,STAREX,DORADO,29
HFGV11,2006,MAZDA,VERISA 1.5 AUT,ROJO,29
HHSF25,2015,JEEP,WRANGLER SPORT L AT,NEGRO,16
HHWT41,2004,TOYOTA,SIENTA 1.5 AUT,PLATEADO,29
HJDV43,2015,CHEVROLET,N300 MAX E5 VAN 1.2 MT,BLANCO,12
HKTD91,2004,HONDA,FIT 1.3 AUT,BLANCO,29
HSHV76,2001,SAAB,9 3,PLATEADO,2
HSJJ41,2008,MAZDA,DEMIO,BLANCO,2
HSZK73,2008,NISSAN,TIIDA LATIO,PLATEADO,2
HVLG13,2016,CHEVROLET,N300,BLANCO,12
HVTW35,2006,MAZDA,PREMACY 2.0 AUT,GRIS,29
HVTW81,2007,SUBARU,IMPREZA,PLATEADO,29
HXKX97,2015,GREAT WALL,WINGLE 5 2.0 DIESEL LF,"PLATEADO PL,ATA",6
HXWC90,2008,HYUNDAI,PORTER II,BLANCO,6
JBGH60,2004,KIA MOTORS,SORENTO,BLANCO GRIS,29
JBGT44,2005,HYUNDAI,STAREX,GRIS,19
JBGV14,2005,HYUNDAI,SANTA FE 4X4 2.0 AUT,PLATEADO PLATA,29
JBYJ71,2016,SUZUKI,ERTIGA GLX,GRIS GRANITO,29
JDGH97,2007,CHEVROLET,CAPTIVA,GRIS,29
JDGK16,2007,SUZUKI,SX4,NARANJO NARANJ,29
JDGT66,2009,MAZDA,DEMIO,BLANCO,2
JFZ070,2019,SUZUKI,INTRUDER 150,GRIS NEGRO,21
JFZK23,2006,HYUNDAI,TUCSON 2.0,DORADO,35
JGSF18,2017,PEUGEOT,BOXER HDI,BLANCO BANQUISE,12
JHKR45,2017,SSANGYONG,REXTON W 4*4,PLATEADO,29
JHKX94,2008,HONDA,FIT,PLATEADO PLATA,29
JHLG52,2011,DODGE,CALIBER,GRIS,29
JLTY80,2006,MAZDA,PREMACY,GRIS,29
JLVC74,2008,TOYOTA,VITZ,NEGRO,2
JPWZ18,2008,HUMMER,H3,NEGRO,29
JPWZ67,2008,HONDA,FIT,GRIS,2
JPXB68,2005,HONDA,FIT,NARANJO NARANJ,29
JPXB77,2008,BMW,Z4,AZUL,2
JPXK17,2006,HONDA,AIRWADE,NEGRO,29
JSVL89,2006,HYUNDAI,TUCSON,DORADO,29
JYBZ85,2018,TOYOTA,RAV4,PLATEADOSILVER,29
JYTH39,2006,MAZDA,MPV,ROJO,29
KBLJ58,2007,HYUNDAI,TUCSON,VERDE,29
KBZY76,2005,SSANGYONG,REXTON,NEGRO,29
KBZZ78,2005,RENAULT,MEGANE,PLATEADO,29
KCBD77,2001,BMW,320T,NEGRO,2
KFJP25,2018,MAZDA,CX-3,GRIS TITANIO,29
KGJT88,2014,JEEP,PATRIOT 4X2 2-4L,ROJO,29
KGJW83,2007,CHEVROLET,CAPTIVA 4X4 2.0 AUT.,PLATEADO,29
KGJX27,2011,FORD,MUSTANG,ROJO,2
KGWS54,2018,NISSAN,NP300,ROJO,6
KJRS68,2007,HYUNDAI,TUCSON,VERDE,29
KJTY88,2000,MITSUBISHI,PAJERO 3.2 AUT,BLANCO,29
KJTZ49,2008,SUZUKI,SWIFT 1.3,VERDE,2
KJVL75,2007,MAZDA,MPV,BLANCO PERLA,29
KPHY54,2014,DODGE,JOURNEY,ROJO,29
KPJC47,2008,KIA MOTORS,GRAND CARNIVAL,BLANCO,29
KRRX57,2012,MAZDA,PREMACY,BLANCO,29
KSYJ99,2013,MAZDA,AXELA 1.5 AUT,GRIS PLOMO,2
KSYK46,2009,MAZDA,DEMIO,ROJO,2
KSYK50,2015,JEEP,CHEROKEE 4X4,VERDE,29
KSYT20,2007,MAZDA,DEMIO,ROJO,2
KSZB20,2007,HYUNDAI,PORTER II 2.5,BLANCO,6
KVPB23,2016,HYUNDAI,AVANTE 1.6 AUT,AZUL,34
KWVX39,2012,SUZUKI,SWIFT 1.3 AUT,ROJO BURDEO,29
KXGV40,2012,MAZDA,DEMIO,BLANCO PERLA,2
KYDR17,2008,MAZDA,PREMACY 2.0 AUT,AZUL,29
